Code,Company,Sector,Market Cap,Weight(%)
IAG,Insurance Australia,Financials,"17,330,300,000",0.95
IOF,Investa Office Fund Stapled Securities,Real Estate,"3,303,270,000",0.18
IVC,Invocare Limited,Consumer Discretionary,"1,359,970,000",0.07
IFL,IOOF Holdings Limited,Financials,"2,857,760,000",0.16
IPH,IPH Limited,Industrials,"1,188,000,000",0.07
IRE,Iress Limited,Information Technology,"2,202,350,000",0.12
JHG,Janus Henderson Chess Depositary Interests,Financials,"2,714,770,000",0.15
JBH,JB Hi-Fi Limited,Consumer Discretionary,"2,893,910,000",0.16
A2M,The a2 Milk Company,Consumer Staples,"7,508,960,000",0.41
JHX,James Hardie Indust Chess Depositary Interests 1:1,Materials,"9,264,880,000",0.51
LLC,Lendlease Group Unit/ Stapled Securities,Real Estate,"11,290,000,000",0.62
LNK,Link Admin HLDG,Information Technology,"4,119,840,000",0.23
LYC,Lynas Corporation,Materials,"1,056,760,000",0.06
MFG,Magellan Fin Group Limited,Financials,"4,881,750,000",0.27
MGR,Mirvac Group Stapled Securities,Real Estate,"8,956,100,000",0.49
MIN,Mineral Resources,Materials,"2,984,460,000",0.16
MMS,Mcmillan Shakespeare,Industrials,"1,420,300,000",0.08
MND,Monadelphous Group,Industrials,"1,513,260,000",0.08
MPL,Medibank Private Limited,Financials,"8,014,150,000",0.44
MQG,Macquarie Group Limited,Financials,"42,901,800,000",2.36
MTS,Metcash Limited,Consumer Staples,"2,727,770,000",0.15
MYO,Myob Group Limited,Information Technology,"1,784,220,000",0.1
MYX,Mayne Pharma Limited,Health Care,"2,043,970,000",0.11
NAB,National Aust. Bank,Financials,"76,035,600,000",4.19
NAN,Nanosonics Limited,Health Care,"1,076,090,000",0.06
NCM,Newcrest Mining,Materials,"14,901,900,000",0.82
NEC,Nine Entertainment,Consumer Discretionary,"1,969,300,000",0.11
NHF,Nib Holdings Limited,Financials,"2,660,870,000",0.15
NSR,National Storage Stapled Security FP,Real Estate,"1,116,380,000",0.06
NST,Northern Star,Materials,"5,307,480,000",0.29
NUF,Nufarm Limited,Materials,"2,195,620,000",0.12
NVT,Navitas Limited,Consumer Discretionary,"1,601,260,000",0.09
NWS,News Corp Class B Voting Common Stock-Cdi,Consumer Discretionary,"1,023,960,000",0.06
NXT,NEXTDC Limited,Information Technology,"2,233,760,000",0.12
OML,Ooh!Media Limited,Consumer Discretionary,"1,213,970,000",0.07
ORA,Orora Limited,Materials,"4,006,190,000",0.22
ORE,Orocobre Limited,Materials,"1,103,150,000",0.06
ORG,Origin Energy,Energy,"14,533,000,000",0.8
ORI,Orica Limited,Materials,"6,458,030,000",0.36
OSH,Oil Search Limited 10 Toea,Energy,"13,758,400,000",0.76
OZL,OZ Minerals,Materials,"3,012,660,000",0.17
PDL,Pendal Group Limited,Financials,"2,795,280,000",0.15
PGH,Pact Group Holdings Limited,Materials,"1,236,840,000",0.07
PLS,Pilbara Min Limited,Materials,"1,570,060,000",0.09
PMV,Premier Investments,Consumer Discretionary,"2,924,850,000",0.16
PPT,Perpetual Limited,Financials,"1,982,670,000",0.11
PRY,Primary Health Care,Health Care,"1,891,200,000",0.1
PTM,Platinum Asset,Financials,"3,144,600,000",0.17
QAN,Qantas Airways,Industrials,"9,882,080,000",0.54
QBE,QBE Insurance Group,Financials,"14,960,300,000",0.82
QUB,QUBE Holdings Limited,Industrials,"4,381,620,000",0.24
REA,REA Group,Information Technology,"11,318,200,000",0.62
RHC,Ramsay Health Care,Health Care,"11,100,300,000",0.61
RIO,RIO Tinto Limited,Materials,"32,481,800,000",1.79
RMD,Resmed Inc Cdi 10:1 Foreign Exempt NYSE,Health Care,"22,643,300,000",1.25
RRL,Regis Resources,Materials,"1,886,550,000",0.1
RSG,Resolute Mining,Materials,"821,901,000",0.05
RWC,Reliance Worldwide,Industrials,"4,084,790,000",0.23
S32,SOUTH32 Limited,Materials,"20,067,400,000",1.11
SAR,Saracen Mineral,Materials,"1,529,760,000",0.08
SBM,ST Barbara Limited,Materials,"1,816,600,000",0.1
SCG,Scentre Group Stapled Securities,Real Estate,"21,108,500,000",1.16
SCP,Sca Property Group Units FP Stapled Securities,Real Estate,"1,809,590,000",0.1
SDA,Speedcast Int Limited,Telecommunication Services,"960,101,000",0.05
SDF,Steadfast Group Limited,Financials,"2,260,150,000",0.12
SEK,Seek Limited,Industrials,"7,289,580,000",0.4
SFR,Sandfire Resources,Materials,"1,185,520,000",0.07
SGM,Sims Metal MGMT Limited,Materials,"2,584,290,000",0.14
SGP,Stockland Units/ Stapled Securities,Real Estate,"10,103,000,000",0.56
SGR,The Star Ent Group,Consumer Discretionary,"4,760,910,000",0.26
SHL,Sonic Healthcare,Health Care,"10,613,200,000",0.58
SIG,Sigma Health Limited,Health Care,"667,479,000",0.04
SIQ,Smartgrp Corporation,Industrials,"1,559,900,000",0.09
SKC,Skycity Ent Group Limited Foreign Exempt NZX,Consumer Discretionary,"2,408,650,000",0.13
SKI,Spark Infrastructure Stapled $0.65 Loan Note and Unit US Prohib,Utilities,"3,767,700,000",0.21
SOL,Soul Pattinson (W.H),Energy,"6,214,700,000",0.34
SPK,Spark New Zealand Foreign Exempt NZX,Telecommunication Services,"6,775,440,000",0.37
STO,Santos Limited,Energy,"15,121,900,000",0.83
SUL,Super Ret Rep Limited,Consumer Discretionary,"1,749,520,000",0.1
SUN,Suncorp Group Limited,Financials,"18,776,400,000",1.03
SVW,Seven Group Holdings,Industrials,"7,162,060,000",0.39
SWM,Seven West Media Limited,Consumer Discretionary,"1,508,030,000",0.08
SXL,STHN Cross Media,Consumer Discretionary,"992,028,000",0.05
SYD,SYD Airport FP Stapled Securities,Industrials,"15,538,500,000",0.86
